Run Num,Mutation Num,Percentage,Accuracy5,Loss5,Accuracy50,Loss50,AccuracyEasy,LossEasy,AccuracyDiff,LossDiff,Accuracy1,Loss1,AccuracyEasy5,LossEasy5,AccuracyDiff5,LossDiff5
0,0,1,0.99007094,0.025049432,0.98729116,0.046082769,1,3.72E-06,0.9805159,0.074727181,0.9375,0.153723267,1,2.80E-06,0.98351645,0.0582429
1,0,1,0.98721594,0.038938828,0.98900473,0.039121581,1,8.85E-06,0.98106474,0.064129201,0.9862069,0.031097205,1,8.32E-06,0.978022,0.086525131
2,0,1,0.99289775,0.043481565,0.9882907,0.039425254,1,6.82E-06,0.9807903,0.061687243,0.9861111,0.035034331,1,3.90E-06,0.98351645,0.043701904
3,0,1,0.9900568,0.025369723,0.98814625,0.039893126,1,1.26E-05,0.9774973,0.071389259,0.9724138,0.101186984,1,9.22E-06,0.96703297,0.198936134
4,0,1,0.99291784,0.019357308,0.9861468,0.053721425,1,1.10E-05,0.97639954,0.099909243,0.9861111,0.031758773,1,3.55E-05,0.978022,0.063832295
5,0,1,0.9829787,0.047563535,0.98714834,0.044900373,1,1.06E-05,0.9827113,0.058411175,1,0.013696652,1,9.23E-06,0.97252744,0.092672136
6,0,1,0.9801418,0.070027553,0.9851492,0.048819049,1,5.17E-06,0.9805159,0.063823904,0.9791667,0.082248391,1,4.04E-06,0.989011,0.045362148
7,0,1,0.9886202,0.042287851,0.98657715,0.048445523,1,2.46E-05,0.9835346,0.064494169,0.993007,0.070266586,1,5.37E-06,0.96703297,0.108938928
8,0,1,0.9787234,0.061091204,0.9888603,0.035789719,1,5.15E-06,0.9788694,0.070506761,0.9724138,0.066361597,1,3.00E-06,0.98351645,0.051121876
9,0,1,0.98866856,0.046167107,0.9877213,0.043796205,1,4.27E-06,0.9827113,0.066702978,0.9861111,0.045455853,1,8.54E-06,0.96703297,0.056367707
10,0,1,0.99148935,0.023397128,0.9892903,0.037367761,1,6.61E-06,0.9821625,0.067112681,0.9931507,0.030994035,1,5.80E-06,0.989011,0.034436259
11,0,1,0.9858357,0.032910808,0.986006,0.046931076,1,1.31E-06,0.9824369,0.067182698,1,0.006510994,1,1.13E-06,0.978022,0.057596433
12,0,1,0.984375,0.053225319,0.9858632,0.046438957,1,3.25E-06,0.9802415,0.064923556,0.99310344,0.039149454,1,2.00E-06,0.978022,0.087284095
13,0,1,0.99007094,0.026712609,0.98657525,0.047822328,1,3.43E-06,0.97722286,0.078906992,0.9862069,0.067559648,1,3.68E-06,0.99450547,0.015842645
14,0,1,0.9915014,0.029422201,0.9891475,0.034856594,1,7.48E-06,0.98326015,0.048458148,0.9726027,0.050641026,1,9.02E-06,0.99450547,0.022865997
15,0,1,0.9929078,0.016919992,0.98929185,0.033122718,1,8.07E-06,0.98298573,0.053550943,1,0.006309875,1,1.18E-05,0.99450547,0.017799913
16,0,1,0.99291784,0.030451691,0.9858632,0.05099252,1,6.48E-06,0.9755763,0.076293066,1,0.002647845,1,6.59E-06,0.99450547,0.0264351
17,0,1,0.98579544,0.048070289,0.9877178,0.042187903,1,4.18E-06,0.98573,0.047059046,1,0.002406871,1,2.47E-06,0.98351645,0.055864184
18,0,1,0.99432623,0.023467158,0.987575,0.045597694,1,2.43E-06,0.9860044,0.050313333,0.99310344,0.043083102,1,1.88E-06,0.98351645,0.046191136
19,0,1,0.97866285,0.051602912,0.98543274,0.047947613,1,7.46E-06,0.9827113,0.057886196,0.9724138,0.09514591,1,2.48E-06,0.98351645,0.046878239
0,0,2,0.99148935,0.030500516,0.98729116,0.045845792,1,1.72E-05,0.97859496,0.073477717,0.9513889,0.113777778,1,1.53E-05,0.98351645,0.037918388
1,0,2,0.99147725,0.037314244,0.9887191,0.039983839,1,1.05E-05,0.9802415,0.065027541,0.9862069,0.033886898,1,2.07E-05,0.978022,0.102662134
2,0,2,0.9900568,0.041013785,0.9881479,0.03954946,1,9.79E-06,0.9813392,0.0623499,0.9861111,0.035144713,1,4.85E-06,0.978022,0.058459572
3,0,2,0.9886364,0.028135469,0.98814625,0.042798288,1,4.59E-05,0.9780461,0.076246681,0.9724138,0.105774733,1,2.21E-05,0.96703297,0.176481424
4,0,2,0.99291784,0.020904399,0.9868609,0.047916091,1,4.57E-05,0.97832054,0.088999356,0.9791667,0.052176539,1,8.02E-05,0.98351645,0.048649233
5,0,2,0.9801418,0.061604797,0.9862916,0.046805267,1,1.51E-05,0.9840834,0.056674714,1,0.015669042,1,2.37E-05,0.97252744,0.079356012
6,0,2,0.9787234,0.074985916,0.98543483,0.048343599,1,7.27E-06,0.98106474,0.062865112,0.9722222,0.069024296,1,6.32E-06,0.99450547,0.047444679
7,0,2,0.9900427,0.043663208,0.9868628,0.050597082,1,3.81E-05,0.98326015,0.065665626,0.993007,0.04367486,1,1.16E-05,0.96153843,0.09135681
8,0,2,0.9858156,0.055216943,0.9878606,0.036362504,1,1.29E-05,0.97667396,0.073920106,0.9724138,0.073793819,1,1.11E-05,0.99450547,0.035033543
9,0,2,0.9915014,0.042759424,0.9854369,0.046834366,1,4.37E-06,0.9794182,0.071290784,0.9861111,0.030972983,1,5.72E-06,0.95604396,0.104270486
10,0,2,0.99148935,0.024056221,0.98800516,0.043671847,1,2.42E-05,0.9788694,0.074847932,0.9931507,0.025301289,1,2.54E-05,0.98351645,0.043367121
11,0,2,0.99291784,0.022991261,0.98543483,0.047863414,1,5.63E-06,0.97996706,0.072766567,0.98630136,0.022915242,1,5.98E-06,0.98351645,0.030702958
12,0,2,0.98295456,0.047539187,0.9855776,0.041851002,1,1.65E-05,0.97859496,0.062191407,0.9862069,0.042383153,1,1.44E-05,0.97252744,0.081080861
13,0,2,0.99148935,0.027209619,0.98714656,0.050805365,1,9.56E-06,0.97639954,0.087024162,0.97931033,0.05407633,1,1.09E-05,0.978022,0.036159173
14,0,2,0.990085,0.02758108,0.98800516,0.035652023,1,1.02E-05,0.98161364,0.055791818,0.9726027,0.065857074,1,1.02E-05,0.989011,0.053422264
15,0,2,0.99007094,0.023215173,0.9875785,0.037368103,1,1.86E-05,0.98106474,0.062181626,0.99310344,0.037810952,1,2.86E-05,0.98351645,0.04300166
16,0,2,0.990085,0.031349556,0.98443526,0.054692271,1,1.50E-05,0.97502744,0.084476458,1,0.00322205,1,1.78E-05,0.989011,0.029976963
17,0,2,0.98721594,0.040940311,0.98800343,0.041183705,1,9.56E-06,0.9851811,0.049526352,1,0.003112866,1,6.80E-06,0.98351645,0.049851615
18,0,2,0.9957447,0.02184211,0.9868609,0.044751694,1,8.67E-06,0.98326015,0.055445399,0.99310344,0.042120191,1,6.13E-06,0.978022,0.052073376
19,0,2,0.98435277,0.046890669,0.98643243,0.047896146,1,6.83E-06,0.98326015,0.060784752,0.9724138,0.095002062,1,3.61E-06,0.978022,0.047716587
0,0,3,0.99148935,0.029567099,0.98800516,0.043019626,1,4.67E-08,0.9821625,0.070103348,0.9652778,0.081040761,1,2.82E-08,0.978022,0.056095355
1,0,3,0.9886364,0.022266206,0.9904327,0.034877284,1,9.70E-07,0.98188806,0.0586461,0.9724138,0.073819644,1,3.79E-07,0.98351645,0.062890397
2,0,3,0.9943182,0.031941951,0.9888619,0.037515276,1,3.65E-06,0.98463225,0.0591147,0.9791667,0.054496509,1,4.81E-07,0.989011,0.020027124
3,0,3,0.9957386,0.011587127,0.9911454,0.035120756,1,4.02E-07,0.98463225,0.067146948,0.9862069,0.121822846,1,7.86E-09,0.97252744,0.205950348
4,0,3,0.9957507,0.011114521,0.9887175,0.046167177,1,5.60E-08,0.97859496,0.098518935,0.9930556,0.016049631,1,4.26E-08,0.98351645,0.029333634
5,0,3,0.9858156,0.048295034,0.98900473,0.047196498,1,1.01E-07,0.9851811,0.064737484,0.9791667,0.062500406,1,2.16E-08,0.978022,0.099210909
6,0,3,0.9843972,0.070699122,0.98743397,0.048750124,1,2.40E-08,0.983809,0.067219076,0.9722222,0.050491314,1,1.90E-08,0.989011,0.058848153
7,0,3,0.9886202,0.041245964,0.9891475,0.048526033,1,3.07E-08,0.9860044,0.060414184,0.993007,0.048291242,1,1.31E-08,0.978022,0.057782558
8,0,3,0.9815603,0.072399018,0.99071693,0.032779046,1,1.65E-07,0.98188806,0.079843668,0.9862069,0.046961663,1,3.14E-08,0.989011,0.023924513
9,0,3,0.99291784,0.036211385,0.99029124,0.042135148,1,1.50E-09,0.98463225,0.067117848,0.9791667,0.044391244,1,1.96E-09,0.97252744,0.083042055
10,0,3,0.9957447,0.010492353,0.9904327,0.039936809,1,2.16E-08,0.98435783,0.063881162,0.9931507,0.019966044,1,1.77E-08,0.989011,0.024892586
