Run Num,Mutation Num,Percentage,Accuracy5,Loss5,Accuracy50,Loss50,AccuracyEasy,LossEasy,AccuracyDiff,LossDiff,Accuracy1,Loss1,AccuracyEasy5,LossEasy5,AccuracyDiff5,LossDiff5
0,0,75,0.9929078,0.025884407,0.9898615,0.037929286,1,5.31E-07,0.983809,0.058610662,0.9583333,0.082503159,1,9.03E-07,0.97252744,0.055414589
0,1,75,0.99432623,0.014925541,0.9900043,0.038497864,1,8.50E-07,0.9851811,0.059338935,0.9791667,0.100767519,1,6.04E-07,0.978022,0.072007747
0,2,75,0.99148935,0.02227352,0.9891475,0.041340572,1,6.25E-06,0.9840834,0.064739248,0.9583333,0.102139937,1,7.84E-06,0.97252744,0.082614853
0,3,75,0.99432623,0.026013165,0.9900043,0.037607597,1,1.83E-06,0.98463225,0.061725607,0.9652778,0.113960633,1,3.15E-07,0.98351645,0.032051095
0,4,75,0.9929078,0.01910931,0.99028987,0.036388445,1,1.61E-05,0.98435783,0.060357334,0.9861111,0.065607405,1,4.33E-06,0.98351645,0.051943946
1,0,75,0.99147725,0.028508485,0.9905755,0.038546535,1,3.29E-06,0.9849067,0.057246651,0.9724138,0.086643027,1,9.10E-07,0.989011,0.059448934
1,1,75,0.99289775,0.020740546,0.98900473,0.043509827,1,2.47E-07,0.9807903,0.067925128,0.97931033,0.061947385,1,2.29E-07,0.978022,0.090319687
1,2,75,0.9943182,0.028703779,0.99128944,0.032598928,1,1.18E-06,0.983809,0.054017299,0.9724138,0.057012882,1,1.32E-06,0.99450547,0.042988439
1,3,75,0.9900568,0.025059652,0.9905755,0.033038674,1,3.85E-07,0.9840834,0.051342009,0.97931033,0.05791472,1,2.28E-07,0.978022,0.075169161
1,4,75,0.9957386,0.014783471,0.992289,0.032032136,1,1.91E-06,0.98573,0.046204568,0.9862069,0.04549233,1,2.68E-06,0.98351645,0.044668104
2,0,75,0.9900568,0.042828201,0.9904327,0.032315344,1,1.84E-07,0.9840834,0.05208913,0.9722222,0.074440875,1,9.24E-08,0.989011,0.026757864
2,1,75,0.99147725,0.0305315,0.99071825,0.034793555,1,8.53E-07,0.9849067,0.050077045,0.9722222,0.071994454,1,1.11E-06,0.99450547,0.012920019
2,2,75,0.9900568,0.040440561,0.99086106,0.033385184,1,3.02E-07,0.98627883,0.047878816,0.9861111,0.022564691,1,1.76E-07,0.99450547,0.016167004
2,3,75,0.99147725,0.044040573,0.9894331,0.034845337,1,7.22E-07,0.9849067,0.055035099,0.9791667,0.064033063,1,3.27E-07,0.978022,0.040343553
2,4,75,0.9900568,0.035963982,0.9898615,0.036056103,1,4.72E-07,0.98463225,0.055336476,0.9791667,0.071688008,1,2.40E-07,0.989011,0.019826219
3,0,75,0.9943182,0.019196955,0.99243075,0.030381214,1,5.46E-07,0.9835346,0.05688578,0.97931033,0.078842181,1,3.81E-07,0.97252744,0.189648681
3,1,75,0.99147725,0.019173484,0.99085975,0.035068092,1,1.78E-07,0.9835346,0.056907894,0.9862069,0.09419585,1,4.26E-08,0.96703297,0.18697671
3,2,75,0.9957386,0.014536091,0.99085975,0.032215458,1,2.92E-06,0.98188806,0.060104812,0.99310344,0.060907883,1,1.65E-06,0.978022,0.166927222
3,3,75,0.99289775,0.018367776,0.9905741,0.031240432,1,3.12E-06,0.9849067,0.054306011,0.9862069,0.070542146,1,1.52E-06,0.978022,0.1570652
3,4,75,0.9900568,0.023501103,0.99100256,0.0337965,1,2.69E-06,0.9840834,0.057885951,0.9862069,0.070852207,1,3.11E-07,0.98351645,0.146111644
4,0,75,0.9943343,0.017262675,0.9900029,0.039642856,1,2.06E-06,0.9791438,0.086151228,0.9930556,0.017920401,1,2.38E-06,0.98351645,0.023046271
4,1,75,0.9943343,0.01686632,0.9884319,0.04943963,1,8.76E-07,0.9788694,0.100721763,0.9930556,0.019335853,1,6.15E-07,0.96703297,0.079967016
4,2,75,0.9957507,0.013999878,0.98971725,0.036952729,1,1.69E-06,0.9788694,0.078315938,0.9930556,0.0207045,1,1.41E-06,0.989011,0.023534484
4,3,75,0.9971671,0.014138852,0.99100256,0.037768803,1,1.59E-06,0.9827113,0.0881893,1,0.004826501,1,1.16E-06,0.989011,0.019239163
4,4,75,0.9957507,0.017518335,0.98957443,0.042610226,1,8.81E-07,0.9788694,0.086308603,0.9930556,0.020831122,1,2.77E-06,0.98351645,0.050333223
